PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,HasCabin,FamilySize,IsAlone,Title,AgeBand,FareBand
1,0,3,0,22.0,1,0,7.25,0.0,0,2,0,1,1,0
2,1,1,1,38.0,1,0,71.2833,1.0,1,2,0,3,2,3
3,1,3,1,26.0,0,0,7.925,0.0,0,1,1,2,1,1
4,1,1,1,35.0,1,0,53.1,0.0,1,2,0,3,2,3
5,0,3,0,35.0,0,0,8.05,0.0,0,1,1,1,2,1
6,0,3,0,25.0,0,0,8.4583,2.0,0,1,1,1,1,1
7,0,1,0,54.0,0,0,51.8625,0.0,1,1,1,1,3,3
8,0,3,0,2.0,3,1,21.075,0.0,0,5,0,4,0,2
9,1,3,1,27.0,0,2,11.1333,0.0,0,3,0,3,1,1
10,1,2,1,14.0,1,0,30.0708,1.0,0,2,0,3,0,2
11,1,3,1,4.0,1,1,16.7,0.0,1,3,0,2,0,2
12,1,1,1,58.0,0,0,26.55,0.0,1,1,1,2,3,2
13,0,3,0,20.0,0,0,8.05,0.0,0,1,1,1,1,1
14,0,3,0,39.0,1,5,31.275,0.0,0,7,0,1,2,3
15,0,3,1,14.0,0,0,7.8542,0.0,0,1,1,2,0,0
16,1,2,1,55.0,0,0,16.0,0.0,0,1,1,3,3,2
17,0,3,0,2.0,4,1,29.125,2.0,0,6,0,4,0,2
18,1,2,0,30.0,0,0,13.0,0.0,0,1,1,1,1,1
19,0,3,1,31.0,1,0,18.0,0.0,0,2,0,3,1,2
20,1,3,1,21.5,0,0,7.225,1.0,0,1,1,3,1,0
21,0,2,0,35.0,0,0,26.0,0.0,0,1,1,1,2,2
22,1,2,0,34.0,0,0,13.0,0.0,1,1,1,1,2,1
23,1,3,1,15.0,0,0,8.0292,2.0,0,1,1,2,0,1
24,1,1,0,28.0,0,0,35.5,0.0,1,1,1,1,1,3
25,0,3,1,8.0,3,1,21.075,0.0,0,5,0,2,0,2
26,1,3,1,38.0,1,5,31.3875,0.0,0,7,0,3,2,3
27,0,3,0,25.0,0,0,7.225,1.0,0,1,1,1,1,0
28,0,1,0,19.0,3,2,263.0,0.0,1,6,0,1,1,3
29,1,3,1,21.5,0,0,7.8792,2.0,0,1,1,2,1,0
30,0,3,0,25.0,0,0,7.8958,0.0,0,1,1,1,1,0
31,0,1,0,40.0,0,0,27.7208,1.0,0,1,1,5,2,2
32,1,1,1,35.0,1,0,146.5208,1.0,1,2,0,3,2,3
33,1,3,1,21.5,0,0,7.75,2.0,0,1,1,2,1,0
34,0,2,0,66.0,0,0,10.5,0.0,0,1,1,1,4,1
35,0,1,0,28.0,1,0,82.1708,1.0,0,2,0,1,1,3
36,0,1,0,42.0,1,0,52.0,0.0,0,2,0,1,2,3
37,1,3,0,25.0,0,0,7.2292,1.0,0,1,1,1,1,0
38,0,3,0,21.0,0,0,8.05,0.0,0,1,1,1,1,1
39,0,3,1,18.0,2,0,18.0,0.0,0,3,0,2,1,2
40,1,3,1,14.0,1,0,11.2417,1.0,0,2,0,2,0,1
41,0,3,1,40.0,1,0,9.475,0.0,0,2,0,3,2,1
42,0,2,1,27.0,1,0,21.0,0.0,0,2,0,3,1,2
43,0,3,0,25.0,0,0,7.8958,1.0,0,1,1,1,1,0
44,1,2,1,3.0,1,2,41.5792,1.0,0,4,0,2,0,3
45,1,3,1,19.0,0,0,7.8792,2.0,0,1,1,2,1,0
46,0,3,0,25.0,0,0,8.05,0.0,0,1,1,1,1,1
